"Sample Number", "Language", "Time", "Number of Partitioning Stages", "Number of Exchanges", "Number of Compares"
282, Python2.7, 0.321, 211429, 765230, 2163828
283, Python2.7, 0.371, 211429, 764728, 2163828
284, Python2.7, 0.343, 211429, 764659, 2163828
285, Python2.7, 0.361, 211429, 763800, 2163828
286, Python2.7, 0.382, 211429, 764526, 2163828
287, Python2.7, 0.345, 211429, 765255, 2163828
288, Python2.7, 0.326, 211429, 764680, 2163828
289, Python2.7, 0.347, 211429, 765172, 2163828
290, Python2.7, 0.342, 211429, 763971, 2163828
291, Python2.7, 0.315, 211429, 764968, 2163828
292, Python2.7, 0.315, 211429, 763882, 2163828
293, Python2.7, 0.345, 211429, 765263, 2163828
294, Python2.7, 0.320, 211429, 765071, 2163828
295, Python2.7, 0.325, 211429, 765135, 2163828
296, Python2.7, 0.315, 211429, 764339, 2163828
297, Python2.7, 0.329, 211429, 765178, 2163828
298, Python2.7, 0.321, 211429, 765293, 2163828
299, Python2.7, 0.334, 211429, 763676, 2163828
300, Python2.7, 0.324, 211429, 764631, 2163828
301, Python2.7, 0.367, 211429, 764770, 2163828
302, Python2.7, 0.327, 211429, 764709, 2163828
303, Python2.7, 0.327, 211429, 765190, 2163828
304, Python2.7, 0.323, 211429, 764722, 2163828
305, Python2.7, 0.393, 211429, 765834, 2163828
306, Python2.7, 0.345, 211429, 765284, 2163828
307, Python2.7, 0.319, 211429, 764905, 2163828
308, Python2.7, 0.313, 211429, 765783, 2163828
309, Python2.7, 0.318, 211429, 765003, 2163828
310, Python2.7, 0.350, 211429, 764461, 2163828
311, Python2.7, 0.326, 211429, 764099, 2163828
312, Python2.7, 0.354, 211429, 765307, 2163828
313, Python2.7, 0.325, 211429, 764908, 2163828
314, Python2.7, 0.324, 211429, 765040, 2163828
315, Python2.7, 0.359, 211429, 765279, 2163828
316, Python2.7, 0.342, 211429, 764658, 2163828
317, Python2.7, 0.338, 211429, 764663, 2163828
318, Python2.7, 0.325, 211429, 764543, 2163828
319, Python2.7, 0.384, 211429, 765165, 2163828
320, Python2.7, 0.326, 211429, 765293, 2163828
321, Python2.7, 0.361, 211429, 764925, 2163828
322, Python2.7, 0.365, 211429, 764288, 2163828
323, Python2.7, 0.348, 211429, 765368, 2163828
324, Python2.7, 0.393, 211429, 765269, 2163828
325, Python2.7, 0.329, 211429, 765216, 2163828
326, Python2.7, 0.329, 211429, 764449, 2163828
327, Python2.7, 0.328, 211429, 765076, 2163828
328, Python2.7, 0.326, 211429, 764666, 2163828
