"Sample Number", "Language", "Time", "Number of Recursive Calls", "Number of Transitions", "Number of Compares"
347, Python2.7, 0.193, 16829, 509479, 2268990
348, Python2.7, 0.192, 16816, 509126, 2170739
349, Python2.7, 0.227, 16747, 512299, 2060025
350, Python2.7, 0.194, 16641, 508058, 2240517
351, Python2.7, 0.193, 16693, 511283, 2116521
352, Python2.7, 0.206, 16694, 510556, 2147943
353, Python2.7, 0.196, 16746, 513630, 2107015
354, Python2.7, 0.194, 16765, 513831, 2047827
355, Python2.7, 0.195, 16682, 514602, 2097843
356, Python2.7, 0.208, 16740, 510614, 2174127
357, Python2.7, 0.204, 16756, 513682, 2029170
358, Python2.7, 0.200, 16702, 513366, 2049221
359, Python2.7, 0.195, 16653, 508242, 2267377
360, Python2.7, 0.202, 16731, 514324, 2113303
361, Python2.7, 0.204, 16720, 517928, 1973322
362, Python2.7, 0.195, 16733, 511622, 2125111
363, Python2.7, 0.202, 16722, 512860, 2098012
364, Python2.7, 0.205, 16709, 514542, 2087071
365, Python2.7, 0.202, 16619, 511142, 2160313
366, Python2.7, 0.203, 16744, 513237, 2086036
367, Python2.7, 0.200, 16807, 513235, 2080351
368, Python2.7, 0.207, 16763, 507258, 2246853
369, Python2.7, 0.198, 16752, 516908, 1995301
370, Python2.7, 0.222, 16701, 510568, 2153868
371, Python2.7, 0.197, 16786, 514221, 2039112
372, Python2.7, 0.207, 16753, 514220, 2076571
373, Python2.7, 0.192, 16709, 515584, 1991699
374, Python2.7, 0.197, 16731, 512148, 2087695
375, Python2.7, 0.203, 16639, 510165, 2203118
376, Python2.7, 0.192, 16797, 513362, 2104447
377, Python2.7, 0.197, 16683, 515064, 2064203
378, Python2.7, 0.224, 16779, 509626, 2113788
379, Python2.7, 0.203, 16775, 517640, 1991680
380, Python2.7, 0.211, 16811, 512965, 2034202
381, Python2.7, 0.200, 16591, 515144, 2055547
382, Python2.7, 0.197, 16789, 515901, 1985248
383, Python2.7, 0.197, 16724, 512413, 2074803
384, Python2.7, 0.198, 16773, 513388, 2133003
385, Python2.7, 0.193, 16735, 514162, 2046724
386, Python2.7, 0.196, 16767, 511494, 2045131
387, Python2.7, 0.198, 16735, 515218, 2054946
388, Python2.7, 0.196, 16735, 511789, 2155135
389, Python2.7, 0.196, 16704, 511952, 2121836
390, Python2.7, 0.193, 16676, 513096, 2118145
391, Python2.7, 0.194, 16695, 510746, 2205157
392, Python2.7, 0.195, 16688, 512027, 2046208
393, Python2.7, 0.196, 16774, 511593, 2056307
394, Python2.7, 0.214, 16763, 516352, 1998627
395, Python2.7, 0.205, 16725, 517865, 2073281
396, Python2.7, 0.218, 16693, 515911, 2003001
397, Python2.7, 0.195, 16748, 513941, 2070761
398, Python2.7, 0.194, 16644, 511292, 2188416
399, Python2.7, 0.196, 16719, 515081, 2087870
400, Python2.7, 0.193, 16737, 513541, 2026491
401, Python2.7, 0.207, 16721, 515138, 1989461
402, Python2.7, 0.197, 16765, 511184, 2115997
403, Python2.7, 0.197, 16777, 513739, 2116352
404, Python2.7, 0.200, 16679, 514074, 2116080
405, Python2.7, 0.193, 16656, 512226, 2059949
406, Python2.7, 0.201, 16676, 511254, 2137909
407, Python2.7, 0.211, 16675, 511974, 2068360
408, Python2.7, 0.219, 16695, 514853, 2060421
409, Python2.7, 0.200, 16699, 512418, 2084102
410, Python2.7, 0.192, 16648, 514146, 2009865
411, Python2.7, 0.195, 16745, 512004, 2121567
412, Python2.7, 0.212, 16694, 514782, 2029317
413, Python2.7, 0.194, 16773, 514549, 1995921
414, Python2.7, 0.203, 16755, 514583, 2024088
415, Python2.7, 0.194, 16689, 511104, 2194401
416, Python2.7, 0.200, 16724, 513106, 2136260
417, Python2.7, 0.193, 16747, 510572, 2248173
418, Python2.7, 0.195, 16754, 510949, 2064860
419, Python2.7, 0.197, 16648, 512417, 2080625
420, Python2.7, 0.232, 16734, 516280, 1988825
421, Python2.7, 0.215, 16723, 509970, 2100104
422, Python2.7, 0.205, 16725, 514390, 2110259
423, Python2.7, 0.200, 16791, 515991, 1980968
424, Python2.7, 0.198, 16818, 511574, 2110395
425, Python2.7, 0.192, 16790, 516572, 1995718
426, Python2.7, 0.197, 16637, 516382, 2071442
427, Python2.7, 0.238, 16737, 515463, 2006144
428, Python2.7, 0.204, 16752, 514065, 2061148
429, Python2.7, 0.205, 16699, 515912, 2033928
430, Python2.7, 0.210, 16870, 511662, 2075384
431, Python2.7, 0.206, 16702, 516799, 2037994
432, Python2.7, 0.207, 16626, 514010, 2133072
433, Python2.7, 0.207, 16659, 512497, 2100260
434, Python2.7, 0.210, 16768, 510907, 2150644
435, Python2.7, 0.203, 16779, 512071, 2098301
436, Python2.7, 0.208, 16741, 513776, 2026368
437, Python2.7, 0.209, 16649, 512403, 2136859
438, Python2.7, 0.211, 16689, 514837, 2011878
439, Python2.7, 0.200, 16749, 512530, 2080621
440, Python2.7, 0.203, 16694, 514805, 2053380
441, Python2.7, 0.202, 16810, 512368, 2081217
442, Python2.7, 0.201, 16761, 510855, 2139973
443, Python2.7, 0.192, 16713, 514384, 2083446
444, Python2.7, 0.193, 16740, 512501, 2057259
445, Python2.7, 0.200, 16662, 519005, 2014927
446, Python2.7, 0.228, 16780, 513029, 2064312
447, Python2.7, 0.198, 16656, 512022, 2077648
448, Python2.7, 0.196, 16727, 513742, 2072338
449, Python2.7, 0.193, 16738, 511690, 2086027
450, Python2.7, 0.194, 16740, 513407, 2083164
451, Python2.7, 0.226, 16749, 513375, 2083985
452, Python2.7, 0.198, 16728, 513096, 2053844
453, Python2.7, 0.196, 16753, 514363, 2083511
454, Python2.7, 0.199, 16653, 514189, 2069800
455, Python2.7, 0.196, 16767, 515388, 2017782
456, Python2.7, 0.197, 16691, 513109, 2091066
457, Python2.7, 0.196, 16811, 515845, 2002978
458, Python2.7, 0.234, 16752, 513154, 2109727
459, Python2.7, 0.192, 16630, 515880, 2027070
460, Python2.7, 0.195, 16649, 515155, 2085381
461, Python2.7, 0.198, 16736, 515736, 2080158
462, Python2.7, 0.202, 16767, 513513, 2058437
463, Python2.7, 0.204, 16715, 515159, 2030737
464, Python2.7, 0.207, 16741, 519383, 1963389
465, Python2.7, 0.194, 16701, 512016, 2115717
466, Python2.7, 0.202, 16642, 517656, 1988964
467, Python2.7, 0.206, 16700, 512874, 2066968
468, Python2.7, 0.201, 16864, 514222, 2023577
469, Python2.7, 0.202, 16733, 514812, 2050000
470, Python2.7, 0.205, 16710, 517006, 2085912
471, Python2.7, 0.203, 16692, 510923, 2108965
472, Python2.7, 0.196, 16656, 516339, 1996186
473, Python2.7, 0.202, 16788, 515625, 2025323
474, Python2.7, 0.197, 16707, 509187, 2177714
475, Python2.7, 0.192, 16724, 515577, 2049082
476, Python2.7, 0.206, 16703, 512886, 2098120
