"Sample Number","algorithm","fileSize","kvalue","Time"
128,quickselect,100000,1684,0.102
129,quickselect,100000,5961,0.122
130,quickselect,100000,195,0.123
131,quickselect,100000,21026,0.124
132,quickselect,100000,2461,0.123
133,quickselect,100000,20563,0.124
134,quickselect,100000,29195,0.122
135,quickselect,100000,25881,0.141
136,quickselect,100000,20097,0.126
137,quickselect,100000,21706,0.102
138,quickselect,100000,13037,0.114
139,quickselect,100000,10266,0.133
140,quickselect,100000,20681,0.148
141,quickselect,100000,26025,0.110
142,quickselect,100000,14036,0.126
143,quickselect,100000,18425,0.146
144,quickselect,100000,27307,0.134
145,quickselect,100000,28586,0.107
146,quickselect,100000,6953,0.132
147,quickselect,100000,29056,0.138
148,quickselect,100000,28510,0.123
149,quickselect,100000,26023,0.141
150,quickselect,100000,10369,0.131
151,quickselect,100000,14639,0.145
152,quickselect,100000,7712,0.149
153,quickselect,100000,25779,0.132
154,quickselect,100000,14981,0.137
155,quickselect,100000,17075,0.144
156,quickselect,100000,14851,0.159
157,quickselect,100000,32247,0.122
158,quickselect,100000,15013,0.120
159,quickselect,100000,25638,0.148
160,quickselect,100000,21115,0.274
161,quickselect,100000,16974,0.157
162,quickselect,100000,6524,0.122
163,quickselect,100000,16652,0.116
164,quickselect,100000,2217,0.129
165,quickselect,100000,27552,0.115
166,quickselect,100000,29441,0.147
167,quickselect,100000,6409,0.151
168,quickselect,100000,23909,0.147
169,quickselect,100000,16383,0.145
170,quickselect,100000,18803,0.153
171,quickselect,100000,18020,0.140
172,quickselect,100000,21518,0.142
173,quickselect,100000,2691,0.093
174,quickselect,100000,771,0.114
175,quickselect,100000,10300,0.125
176,quickselect,100000,30225,0.153
177,quickselect,100000,17894,0.124
178,quickselect,100000,5694,0.158
179,quickselect,100000,29836,0.138
180,quickselect,100000,826,0.098
181,quickselect,100000,21726,0.151
182,quickselect,100000,4417,0.136
183,quickselect,100000,11744,0.123
184,quickselect,100000,23229,0.125
185,quickselect,100000,25662,0.166
186,quickselect,100000,26523,0.140
187,quickselect,100000,14548,0.105
188,quickselect,100000,26883,0.106
189,quickselect,100000,21195,0.101
190,quickselect,100000,13056,0.117
191,quickselect,100000,19793,0.124
192,quickselect,100000,9782,0.112
193,quickselect,100000,15071,0.124
194,quickselect,100000,21171,0.139
195,quickselect,100000,16263,0.124
196,quickselect,100000,29067,0.122
197,quickselect,100000,31168,0.144
198,quickselect,100000,5553,0.125
199,quickselect,100000,23722,0.137
200,quickselect,100000,21842,0.171
001,quickselect,1000000,20669,1.150
002,quickselect,1000000,23454,1.142
003,quickselect,1000000,22380,1.215
004,quickselect,1000000,32703,0.796
005,quickselect,1000000,31758,1.699
006,quickselect,1000000,22641,0.980
007,quickselect,1000000,61,1.063
008,quickselect,1000000,31862,1.274
009,quickselect,1000000,23401,1.076
010,quickselect,1000000,26334,1.265
011,quickselect,1000000,17733,0.762
012,quickselect,1000000,31448,0.814
013,quickselect,1000000,2148,0.791
014,quickselect,1000000,5510,1.100
015,quickselect,1000000,13853,0.985
016,quickselect,1000000,11536,1.009
017,quickselect,1000000,30350,1.080
018,quickselect,1000000,23265,1.263
019,quickselect,1000000,1873,0.991
020,quickselect,1000000,3036,1.116
021,quickselect,1000000,31051,0.979
022,quickselect,1000000,7143,0.914
023,quickselect,1000000,20886,1.016
024,quickselect,1000000,2843,0.966
025,quickselect,1000000,19315,1.260
026,quickselect,1000000,29057,0.818
027,quickselect,1000000,2252,1.039
028,quickselect,1000000,2843,0.764
029,quickselect,1000000,29866,1.528
030,quickselect,1000000,22707,0.964
031,quickselect,1000000,26290,1.141
032,quickselect,1000000,4768,1.100
033,quickselect,1000000,10365,0.845
034,quickselect,1000000,14726,1.506
035,quickselect,1000000,17771,1.574
036,quickselect,1000000,7604,1.300
037,quickselect,1000000,31553,1.296
038,quickselect,1000000,28854,1.027
