Sample Number,listLength,kvalue,quickselect,quicksort,deterministicselect
167,1000,703,0.049,0.036,0.04
168,1000,80,0.042,0.039,0.041
169,1000,294,0.037,0.042,0.028
170,1000,79,0.033,0.043,0.037
171,1000,973,0.038,0.029,0.037
172,1000,743,0.035,0.027,0.042
173,1000,700,0.034,0.03,0.036
174,1000,410,0.041,0.045,0.042
175,1000,107,0.038,0.039,0.044
176,1000,977,0.033,0.037,0.039
177,1000,294,0.039,0.038,0.04
178,1000,91,0.034,0.038,0.044
179,1000,382,0.033,0.039,0.042
180,1000,12,0.038,0.044,0.051
181,1000,160,0.025,0.043,0.044
182,1000,381,0.048,0.04,0.049
183,1000,336,0.04,0.046,0.039
184,1000,255,0.039,0.046,0.043
185,1000,381,0.04,0.042,0.034
186,1000,873,0.048,0.039,0.029
187,1000,63,0.041,0.039,0.039
188,1000,659,0.04,0.041,0.035
189,1000,873,0.055,0.072,0.053
190,1000,281,0.042,0.035,0.045
191,1000,719,0.029,0.039,0.042
192,1000,131,0.036,0.039,0.041
193,1000,781,0.034,0.037,0.041
194,1000,367,0.032,0.038,0.042
195,1000,743,0.03,0.048,0.045
196,1000,573,0.037,0.041,0.043
197,1000,114,0.034,0.038,0.039
198,1000,355,0.043,0.057,0.034
199,1000,830,0.034,0.04,0.038
200,1000,222,0.04,0.045,0.041
1,10000,6612,0.045,0.061,0.075
2,10000,375,0.043,0.063,0.066
3,10000,8293,0.041,0.072,0.064
4,10000,7431,0.045,0.073,0.062
5,10000,4315,0.048,0.065,0.059
6,10000,9019,0.049,0.074,0.069
7,10000,9858,0.045,0.061,0.072
8,10000,1458,0.043,0.08,0.059
9,10000,3883,0.048,0.068,0.083
10,10000,2895,0.046,0.072,0.065
11,10000,1927,0.041,0.06,0.069
12,10000,1419,0.049,0.067,0.091
13,10000,5142,0.112,0.069,0.068
14,10000,7076,0.045,0.073,0.073
15,10000,4790,0.048,0.056,0.07
16,10000,7054,0.049,0.069,0.062
17,10000,3622,0.052,0.068,0.073
18,10000,4897,0.057,0.064,0.07
19,10000,4691,0.046,0.069,0.062
20,10000,7299,0.051,0.073,0.07
21,10000,8373,0.046,0.071,0.055
22,10000,9055,0.044,0.072,0.056
23,10000,4975,0.04,0.072,0.061
24,10000,1004,0.049,0.058,0.066
25,10000,760,0.05,0.074,0.062
26,10000,9539,0.053,0.07,0.058
27,10000,2936,0.042,0.074,0.055
28,10000,9483,0.041,0.058,0.064
29,10000,80,0.043,0.06,0.061
30,10000,3071,0.052,0.058,0.063
31,10000,3042,0.041,0.068,0.074
32,10000,3556,0.065,0.082,0.073
33,10000,8830,0.042,0.061,0.063
34,10000,5447,0.042,0.061,0.065
35,10000,5844,0.045,0.065,0.066
36,10000,598,0.052,0.064,0.068
37,10000,2249,0.046,0.064,0.054
38,10000,6291,0.046,0.068,0.057
39,10000,34,0.044,0.058,0.058
40,10000,8888,0.057,0.059,0.058
41,10000,7890,0.041,0.071,0.053
42,10000,4042,0.045,0.059,0.063
43,10000,1246,0.046,0.062,0.056
44,10000,8901,0.043,0.062,0.064
45,10000,5377,0.045,0.057,0.064
46,10000,8521,0.044,0.065,0.062
47,10000,1837,0.043,0.065,0.06
48,10000,247,0.034,0.068,0.068
49,10000,264,0.043,0.074,0.065
50,10000,3398,0.046,0.066,0.07
51,10000,1419,0.048,0.069,0.069
52,10000,2661,0.047,0.067,0.1
53,10000,1827,0.043,0.058,0.057
54,10000,7400,0.037,0.063,0.076
55,10000,2190,0.039,0.054,0.063
56,10000,2509,0.043,0.061,0.06
57,10000,5810,0.045,0.066,0.057
58,10000,9074,0.046,0.057,0.068
59,10000,4555,0.038,0.063,0.052
60,10000,2144,0.035,0.058,0.066
61,10000,1927,0.042,0.055,0.064
62,10000,9331,0.047,0.07,0.053
63,10000,6459,0.043,0.069,0.056
64,10000,7424,0.042,0.057,0.062
65,10000,2237,0.045,0.068,0.063
66,10000,7007,0.046,0.069,0.054
67,10000,2987,0.038,0.067,0.063
68,10000,3034,0.047,0.063,0.063
69,10000,9582,0.042,0.069,0.053
70,10000,2027,0.04,0.058,0.068
71,10000,5382,0.043,0.065,0.055
72,10000,6914,0.044,0.053,0.064
73,10000,2179,0.042,0.065,0.062
74,10000,9995,0.039,0.06,0.112
75,10000,5842,0.043,0.067,0.06
76,10000,227,0.045,0.059,0.073
